TreeType;Dataset;Size;Time(s);Rotations
BST;A;10000;0,1047;0
BST;B;10000;0,1026;0
BST;C;10000;0,0010;0
BST;D;10000;0,0007;0
BST;A;25000;0,6822;0
BST;B;25000;0,7051;0
BST;C;25000;0,0025;0
BST;D;25000;0,0005;0
BST;A;50000;2,6674;0
BST;B;50000;3,0446;0
BST;C;50000;0,0058;0
BST;D;50000;0,0009;0
BST;A;75000;6,0477;0
BST;B;75000;6,5934;0
BST;C;75000;0,0100;0
BST;D;75000;0,0013;0
BST;A;100000;10,1555;0
BST;B;100000;10,8608;0
BST;C;100000;0,0151;0
BST;D;100000;0,0022;0
AVL;A;100000;0,0162;99983
AVL;B;100000;0,0130;99983
AVL;C;100000;0,0475;69731
AVL;D;100000;0,0155;6611
AVL;A;250000;0,0203;249982
AVL;B;250000;0,0222;249982
AVL;C;250000;0,0984;174831
AVL;D;250000;0,0234;16473
AVL;A;500000;0,0497;499981
AVL;B;500000;0,0492;499981
AVL;C;500000;0,3325;349400
AVL;D;500000;0,0322;33209
AVL;A;750000;0,0784;749980
AVL;B;750000;0,0769;749980
AVL;C;750000;0,5020;523370
AVL;D;750000;0,0470;49991
AVL;A;1000000;0,1012;999980
AVL;B;1000000;0,0992;999980
AVL;C;1000000;0,9461;698893
AVL;D;1000000;0,0843;66432
AVL;A;2000000;0,2580;1999979
AVL;B;2000000;0,2109;1999979
AVL;C;2000000;1,4908;1397397
AVL;D;2000000;0,1875;133013
AVL;A;3000000;0,4574;2999978
AVL;B;3000000;0,3914;2999978
AVL;C;3000000;2,9048;2093992
AVL;D;3000000;0,3195;199213
AVL;A;4000000;0,5437;3999978
AVL;B;4000000;0,6135;3999978
AVL;C;4000000;5,5672;2793301
AVL;D;4000000;0,4517;266260
AVL;A;5000000;0,6832;4999977
AVL;B;5000000;0,6914;4999977
AVL;C;5000000;7,1527;3491233
AVL;D;5000000;0,6309;332796
VP;A;100000;0,0191;99984
VP;B;100000;0,0214;99978
VP;C;100000;0,0255;118700
VP;D;100000;0,0198;11451
VP;A;250000;0,0537;249983
VP;B;250000;0,0479;249976
VP;C;250000;0,1162;296521
VP;D;250000;0,0222;28399
VP;A;500000;0,0836;499982
VP;B;500000;0,1392;499975
VP;C;500000;0,2494;592319
VP;D;500000;0,0320;56545
VP;A;750000;0,1259;749981
VP;B;750000;0,1776;749971
VP;C;750000;0,5198;889319
VP;D;750000;0,0596;84936
VP;A;1000000;0,1784;999981
VP;B;1000000;0,2411;999974
VP;C;1000000;0,8324;1186218
VP;D;1000000;0,1020;112880
VP;A;2000000;0,3464;1999980
VP;B;2000000;0,4629;1999973
VP;C;2000000;1,7619;2373290
VP;D;2000000;0,1871;226019
VP;A;3000000;0,5618;2999979
VP;B;3000000;0,7014;2999969
VP;C;3000000;3,0361;3559855
VP;D;3000000;0,3608;339982
VP;A;4000000;0,7169;3999979
VP;B;4000000;1,0195;3999972
VP;C;4000000;4,7007;4748142
VP;D;4000000;0,4936;451883
VP;A;5000000;0,9446;4999978
VP;B;5000000;1,2271;4999970
VP;C;5000000;5,2555;5932568
VP;D;5000000;0,5822;565210
TREAP;A;100000;0,0087;99990
TREAP;B;100000;0,0074;99988
TREAP;C;100000;0,0261;200565
TREAP;D;100000;0,0063;18902
TREAP;A;250000;0,0322;249987
TREAP;B;250000;0,0251;249989
TREAP;C;250000;0,1015;500202
TREAP;D;250000;0,0097;47738
TREAP;A;500000;0,0272;499986
TREAP;B;500000;0,0282;499985
TREAP;C;500000;0,2502;1000725
TREAP;D;500000;0,0234;95569
TREAP;A;750000;0,0480;749978
TREAP;B;750000;0,0371;749982
TREAP;C;750000;0,5556;1496592
TREAP;D;750000;0,0282;142934
TREAP;A;1000000;0,0488;999977
TREAP;B;1000000;0,0546;999983
TREAP;C;1000000;0,7820;1997323
TREAP;D;1000000;0,0464;189926
TREAP;A;2000000;0,1049;1999982
TREAP;B;2000000;0,1036;1999992
TREAP;C;2000000;2,1335;4002577
TREAP;D;2000000;0,1326;379169
TREAP;A;3000000;0,1553;2999985
TREAP;B;3000000;0,1735;2999987
TREAP;C;3000000;3,9879;5999844
TREAP;D;3000000;0,2125;570585
TREAP;A;4000000;0,2359;3999989
TREAP;B;4000000;0,2442;3999980
TREAP;C;4000000;4,7892;7991295
TREAP;D;4000000;0,4507;760079
TREAP;A;5000000;0,3190;4999984
TREAP;B;5000000;0,2851;4999982
TREAP;C;5000000;7,1959;9996744
TREAP;D;5000000;0,6992;951362
